ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
14972,CS,1110,001,Lecture,"3","Arohi Khargonkar","MoWeFr 10:00am - 10:50am","Gilmer Hall 301","Introduction to Programming","",Open,154,250,0
14980,CS,1110,002,Lecture,"3","Arohi Khargonkar","MoWeFr 12:00pm - 12:50pm","Gilmer Hall 301","Introduction to Programming","",Open,161,250,0
14973,CS,1110,100,Laboratory,"0","Arohi Khargonkar","Th 9:30am - 10:45am","Olsson Hall 018","Introduction to Programming","",Open,62,85,0
14974,CS,1110,101,Laboratory,"0","Arohi Khargonkar","Th 11:00am - 12:15pm","Olsson Hall 018","Introduction to Programming","",Open,76,85,0
14975,CS,1110,102,Laboratory,"0","Arohi Khargonkar","Th 12:30pm - 1:45pm","Olsson Hall 018","Introduction to Programming","",Open,73,85,0
14976,CS,1110,103,Laboratory,"0","Arohi Khargonkar","Th 2:00pm - 3:15pm","Olsson Hall 018","Introduction to Programming","",Open,61,85,0
14977,CS,1110,104,Laboratory,"0","Arohi Khargonkar","Th 3:30pm - 4:45pm","Olsson Hall 018","Introduction to Programming","",Open,32,85,0
14978,CS,1110,105,Laboratory,"0","Arohi Khargonkar","Th 5:00pm - 6:15pm","Olsson Hall 018","Introduction to Programming","",Open,11,85,0
16240,CS,1112,001,Lecture,"3","Nada Basit","MoWeFr 12:30pm - 1:45pm","Olsson Hall 018","Introduction to Programming","",Wait List,86,85,37
16241,CS,1112,002,Lecture,"3","Nada Basit","MoWeFr 2:00pm - 3:15pm","Olsson Hall 018","Introduction to Programming","",Wait List,86,85,25
21033,CS,1113,001,Lecture,"3","Cristina Mantilla Suarez","TuTh 11:00am - 12:15pm","Physics Bldg 242","Introduction to Programming","",Open,49,55,0
15892,CS,2100,001,Lecture,"4","Briana Morrison","MoWeFr 12:00pm - 12:50pm","Chemistry Bldg 402","Data Structures and Algorithms 1","",Open,270,300,1
15893,CS,2100,002,Lecture,"4","Briana Morrison","MoWeFr 9:00am - 9:50am","Rice Hall 130","Data Structures and Algorithms 1","",Open,101,150,0
15894,CS,2100,101,Laboratory,"0","Briana Morrison","Mo 3:00pm - 4:45pm","Olsson Hall 120","Data Structures and Algorithms 1","",Wait List,125,125,1
15895,CS,2100,102,Laboratory,"0","Briana Morrison","Mo 5:00pm - 6:45pm","Rice Hall 130","Data Structures and Algorithms 1","",Open,80,150,0
15896,CS,2100,103,Laboratory,"0","Briana Morrison","Mo 7:00pm - 8:45pm","Rice Hall 130","Data Structures and Algorithms 1","",Open,45,150,0
15970,CS,2100,104,Laboratory,"0","Briana Morrison","Mo 3:30pm - 5:15pm","Mechanical Engr Bldg 205","Data Structures and Algorithms 1","",Open,121,125,0
15954,CS,2120,001,Lecture,"3","David Evans, Aidan San","MoWeFr 2:00pm - 2:50pm","Rice Hall 130","Discrete Mathematics and Theory 1","",Wait List,137,135,7
20643,CS,2120,003,Lecture,"3","David Evans","MoWeFr 10:00am - 10:50am","Olsson Hall 120","Discrete Mathematics and Theory 1","",Open,133,135,3
15897,CS,2130,001,Lecture,"4","Daniel Graham","MoWeFr 11:00am - 11:50am","Wilson Hall 402","Computer Systems and Organization 1","",Open,153,225,0
19554,CS,2130,002,Lecture,"4","Todd Delong","MoWeFr 1:00pm - 1:50pm","John W. Warner Hall 209","Computer Systems and Organization 1","",Open,184,225,0
15898,CS,2130,101,Laboratory,"0","Daniel Graham","Tu 9:30am - 10:45am","Olsson Hall 018","Computer Systems and Organization 1","",Open,31,85,0
15899,CS,2130,102,Laboratory,"0","Daniel Graham","Tu 11:00am - 12:15pm","Olsson Hall 018","Computer Systems and Organization 1","",Open,74,85,0
16058,CS,2130,103,Laboratory,"0","Daniel Graham","Tu 12:30pm - 1:45pm","Olsson Hall 018","Computer Systems and Organization 1","",Open,82,85,0
16059,CS,2130,104,Laboratory,"0","Daniel Graham","Tu 2:00pm - 3:15pm","Olsson Hall 018","Computer Systems and Organization 1","",Open,39,85,0
16060,CS,2130,105,Laboratory,"0","Daniel Graham","Tu 3:30pm - 4:45pm","Olsson Hall 018","Computer Systems and Organization 1","",Wait List,85,85,0
16061,CS,2130,106,Laboratory,"0","Daniel Graham","Tu 5:00pm - 6:15pm","Olsson Hall 018","Computer Systems and Organization 1","",Open,26,85,0
21006,CS,2501,001,Lecture,"1","Briana Morrison","We 5:00pm - 5:50pm","Olsson Hall 009","Special Topics in Computer Science","Preparing for Undergraduate Research",Open,79,80,0
15650,CS,2910,001,PRA,"1","Nada Basit, Angela Orebaugh","TBA","TBA","CS Education Practicum","",Open,0,120,0
21272,CS,2993,001,IND,"1 - 3","Mark Sherriff","TBA","TBA","Independent Study","",Open,1,30,0
16062,CS,3100,001,Lecture,"3","Aaron Bloomfield","TuTh 9:30am - 10:45am","John W. Warner Hall 209","Data Structures and Algorithms 2","",Open,216,289,7
16063,CS,3100,002,Lecture,"3","Raymond Pettit","TuTh 2:00pm - 3:15pm","Mechanical Engr Bldg 205","Data Structures and Algorithms 2","",Wait List,145,145,17
16064,CS,3120,001,Lecture,"3","Mark Floryan","TuTh 11:00am - 12:15pm","John W. Warner Hall 209","Discrete Mathematics and Theory 2","",Wait List,190,190,7
19555,CS,3120,002,Lecture,"3","Wei-Kai Lin","TuTh 12:30pm - 1:45pm","Rice Hall 130","Discrete Mathematics and Theory 2","",Open,130,140,1
16065,CS,3130,001,Lecture,"4","Charles Reiss","TuTh 12:30pm - 1:45pm","John W. Warner Hall 209","Computer Systems and Organization 2","",Wait List,235,235,15
19556,CS,3130,002,Lecture,"4","Brad Campbell","TuTh 9:30am - 10:45am","Olsson Hall 120","Computer Systems and Organization 2","",Wait List,141,140,13
16066,CS,3130,101,Laboratory,"0","Charles Reiss","We 2:00pm - 3:15pm","Olsson Hall 009","Computer Systems and Organization 2","",Wait List,76,76,5
16067,CS,3130,102,Laboratory,"0","Charles Reiss","We 3:30pm - 4:45pm","Olsson Hall 018","Computer Systems and Organization 2","",Wait List,90,90,4
16068,CS,3130,103,Laboratory,"0","Charles Reiss","We 5:00pm - 6:15pm","Rice Hall 130","Computer Systems and Organization 2","",Wait List,154,154,12
16069,CS,3130,104,Laboratory,"0","Charles Reiss","We 6:30pm - 7:45pm","Olsson Hall 018","Computer Systems and Organization 2","",Open,56,90,1
16070,CS,3140,001,Lecture,"3","Rich Nguyen","TuTh 11:00am - 12:15pm","Olsson Hall 120","Software Development Essentials","",Wait List,140,140,38
19558,CS,3140,002,Lecture,"3","Derrick Stone","TuTh 2:00pm - 3:15pm","John W. Warner Hall 209","Software Development Essentials","",Open,273,290,0
15473,CS,3205,001,Lecture,"3","Seongkook Heo","TuTh 2:00pm - 3:15pm","Olsson Hall 120","HCI in Software Development","",Wait List,100,100,25
15319,CS,3240,001,Lecture,"3","Mark Sherriff","TuTh 9:30am - 10:45am","Rice Hall 130","Software Engineering","",Wait List,142,140,16
15644,CS,3240,002,Lecture,"3","Derrick Stone","TuTh 11:00am - 12:15pm","Rice Hall 130","Software Engineering","",Wait List,142,140,19
14982,CS,3240,101,Laboratory,"0","Mark Sherriff","TBA","TBA","Software Engineering","",Open,284,300,32
20539,CS,3250,001,Lecture,"3","Wenxi Wang","MoWeFr 1:00pm - 1:50pm","Thornton Hall E316","Software Testing","",Wait List,74,75,27
16322,CS,3501,001,Lecture,"3","Miaomiao Zhang","TuTh 2:00pm - 3:15pm","Thornton Hall E316","Special Topics in Computer Science","Foundations of Data Analysis",Closed,60,60,0
15742,CS,3710,001,Lecture,"3","Angela Orebaugh","MoWeFr 10:00am - 10:50am","Rice Hall 130","Introduction to Cybersecurity","",Wait List,141,140,35
19559,CS,3710,002,Lecture,"3","Angela Orebaugh","MoWeFr 11:00am - 11:50am","Rice Hall 130","Introduction to Cybersecurity","",Wait List,144,140,33
19560,CS,3710,003,Lecture,"3","Raymond Pettit","TuTh 3:30pm - 4:45pm","Mechanical Engr Bldg 205","Introduction to Cybersecurity","",Wait List,140,140,25
19561,CS,4330,001,Lecture,"3","Ashish Venkat","TuTh 3:30pm - 4:45pm","Olsson Hall 009","Advanced Computer Architecture","",Open,25,75,0
14983,CS,4414,001,Lecture,"3","Felix Lin","TuTh 12:30pm - 1:45pm","Olsson Hall 011","Operating Systems","",Closed,55,55,0
15390,CS,4457,001,Lecture,"3","Hyojoon Kim","TuTh 12:30pm - 1:45pm","Olsson Hall 009","Computer Networks","",Open,73,75,0
20647,CS,4501,001,Lecture,"3","Henry Kautz","MoWe 3:30pm - 4:45pm","Mechanical Engr Bldg 341","Special Topics in Computer Science","Analyzing Online Behavior for Public Health",Open,37,40,0
15743,CS,4501,002,Lecture,"3","Kun Qian","TuTh 2:00pm - 3:15pm","Thornton Hall A120","Special Topics in Computer Science","Internet of Things",Open,33,48,0
19563,CS,4501,003,Lecture,"3","Zezhou Cheng","MoWeFr 2:00pm - 2:50pm","Olsson Hall 120","Special Topics in Computer Science","Computer Vision",Wait List,72,72,14
19564,CS,4501,004,Lecture,"3","Denis Nekipelov, Matheus Xavier Ferreira","MoWe 2:00pm - 3:15pm","Thornton Hall E316","Special Topics in Computer Science","Introduction to Algorithmic Economics",Wait List,45,45,16
19565,CS,4501,005,Lecture,"3","Mark Floryan","MoWeFr 9:00am - 9:50am","Olsson Hall 018","Special Topics in Computer Science","Advanced Algorithms and Implementations",Wait List,75,75,21
16098,CS,4501,006,Lecture,"3","Tom Fletcher","TuTh 11:00am - 12:15pm","Thornton Hall E316","Special Topics in Computer Science","Digital Signal Processing",Open,23,30,0
19690,CS,4501,007,Lecture,"3","Tariq Iqbal","TuTh 9:30am - 10:45am","Rice Hall 120","Special Topics in Computer Science","Human-Robot Interaction",Open,0,10,0
21001,CS,4501,008,Lecture,"3","Yanjun Qi","MoWe 3:30pm - 4:45pm","Olsson Hall 009","Special Topics in Computer Science","Risks and Benefits of Generative AI and LLMs",Open,11,30,0
19566,CS,4630,001,Lecture,"3","Charles Reiss","MoWeFr 1:00pm - 1:50pm","Olsson Hall 120","Defense Against the Dark Arts","",Wait List,74,75,1
16253,CS,4640,001,Lecture,"3","Robbie Hott","MoWeFr 10:00am - 10:50am","Olsson Hall 018","Programming Languages for Web Applications","",Wait List,75,75,8
16254,CS,4710,001,Lecture,"3","Yangfeng Ji","MoWe 2:00pm - 3:15pm","Thornton Hall E303","Artificial Intelligence","",Wait List,75,75,14
16255,CS,4710,002,Lecture,"3","Yen-Ling Kuo","TuTh 2:00pm - 3:15pm","Olsson Hall 009","Artificial Intelligence","",Wait List,75,75,6
20127,CS,4720,001,Lecture,"3","Paul McBurney","MoWe 3:30pm - 4:45pm","Thornton Hall A120","Mobile Application Development","",Wait List,76,76,35
16073,CS,4730,001,Lecture,"3","Robbie Hott","MoWeFr 12:00pm - 12:50pm","Thornton Hall A120","Computer Game Design","",Wait List,74,75,30
16257,CS,4740,001,Lecture,"3","Haiying Shen","MoWeFr 3:00pm - 3:50pm","Rice Hall 130","Cloud Computing","",Wait List,70,70,15
15391,CS,4750,001,Lecture,"3","Paul McBurney","MoWeFr 12:00pm - 12:50pm","Rice Hall 130","Database Systems","",Wait List,145,145,43
15758,CS,4760,001,Lecture,"3","Daniel Graham","MoWeFr 1:00pm - 1:50pm","Olsson Hall 011","Network Security","",Open,54,75,0
19567,CS,4774,001,Lecture,"3","Rich Nguyen","TuTh 12:30pm - 1:45pm","Olsson Hall 120","Machine Learning","",Wait List,134,135,8
19568,CS,4774,002,Lecture,"3","Chen Chen","TuTh 3:30pm - 4:45pm","Olsson Hall 120","Machine Learning","",Wait List,75,75,6
20860,CS,4790,001,Lecture,"3","Aaron Bloomfield","TuTh 11:00am - 12:15pm","Thornton Hall A120","Cryptocurrency","",Open,65,75,0
15753,CS,4980,001,IND,"1 - 3","Aaron Bloomfield","TBA","TBA","Capstone Research","",Open,0,30,0
16166,CS,4980,002,IND,"1 - 3","Panagiotis Apostolellis","TBA","TBA","Capstone Research","",Open,0,30,0
15726,CS,4980,003,IND,"1 - 3","Matthew Dwyer","TBA","TBA","Capstone Research","",Open,0,30,0
15336,CS,4980,004,IND,"1 - 3","David Evans","TBA","TBA","Capstone Research","",Open,0,30,0
15337,CS,4980,005,IND,"1 - 3","Mark Floryan","TBA","TBA","Capstone Research","",Open,0,30,0
15759,CS,4980,006,IND,"1 - 3","Homa Alemzadeh","TBA","TBA","Capstone Research","",Open,0,30,0
16200,CS,4980,007,IND,"1 - 3","Tianhao Wang","TBA","TBA","Capstone Research","",Open,0,30,0
15763,CS,4980,008,IND,"1 - 3","Nicola Bezzo","TBA","TBA","Capstone Research","",Open,0,30,0
15891,CS,4980,009,IND,"1 - 3","Kevin Sullivan","TBA","TBA","Capstone Research","",Open,0,30,0
15535,CS,4980,010,IND,"1 - 3","Madhur Behl","TBA","TBA","Capstone Research","",Open,0,30,0
15812,CS,4980,011,IND,"1 - 3","Yangfeng Ji","TBA","TBA","Capstone Research","",Open,0,30,0
15338,CS,4980,012,IND,"1 - 3","Mohammad Mahmoody","TBA","TBA","Capstone Research","",Open,0,30,0
15567,CS,4980,013,IND,"1 - 3","Haiying Shen","TBA","TBA","Capstone Research","",Open,1,30,0
15339,CS,4980,014,IND,"1 - 3","Yanjun Qi","TBA","TBA","Capstone Research","",Open,0,30,0
15828,CS,4980,015,IND,"1 - 3","Aidong Zhang","TBA","TBA","Capstone Research","",Open,1,30,0
16147,CS,4980,016,IND,"1 - 3","Ashish Venkat","TBA","TBA","Capstone Research","",Open,0,30,0
15340,CS,4980,017,IND,"1 - 3","Mark Sherriff","TBA","TBA","Capstone Research","",Open,3,30,0
15664,CS,4980,019,IND,"1 - 3","Sebastian Elbaum","TBA","TBA","Capstone Research","",Open,0,30,0
15668,CS,4980,020,IND,"1 - 3","Samira Khan","TBA","TBA","Capstone Research","",Open,0,30,0
15524,CS,4980,021,IND,"1 - 3","Lu Feng","TBA","TBA","Capstone Research","",Open,0,30,0
15783,CS,4980,022,IND,"1 - 3","Brad Campbell","TBA","TBA","Capstone Research","",Open,0,30,0
16377,CS,4980,023,IND,"1 - 3","Geoffrey Fox","TBA","TBA","Capstone Research","",Open,0,30,0
16144,CS,4980,024,IND,"1 - 3","Felix Lin","TBA","TBA","Capstone Research","",Open,1,30,0
16120,CS,4980,025,IND,"1 - 3","Briana Morrison","TBA","TBA","Capstone Research","",Open,0,30,0
15451,CS,4980,026,IND,"1 - 3","Nada Basit","TBA","TBA","Capstone Research","",Open,0,30,0
15796,CS,4980,027,IND,"1 - 3","Seongkook Heo","TBA","TBA","Capstone Research","",Open,0,30,0
15804,CS,4980,028,IND,"1 - 3","Madhav Marathe","TBA","TBA","Capstone Research","",Open,0,30,0
15711,CS,4980,029,IND,"1 - 3","Rich Nguyen","TBA","TBA","Capstone Research","",Open,4,30,0
15805,CS,4980,030,IND,"1 - 3","Kevin Skadron","TBA","TBA","Capstone Research","",Open,2,30,0
16358,CS,4980,031,IND,"1 - 3","Jundong Li","TBA","TBA","Capstone Research","",Open,0,30,0
16362,CS,4980,032,IND,"1 - 3","Afsaneh Doryab","TBA","TBA","Capstone Research","",Open,0,30,0
20835,CS,4980,033,IND,"1 - 3","Rohan Chandra","TBA","TBA","Capstone Research","",Open,1,30,0
21010,CS,4980,034,IND,"1 - 3","Denis Nekipelov","TBA","TBA","Capstone Research","",Open,1,30,0
21032,CS,4980,035,IND,"1 - 3","Mathews Jacob","TBA","TBA","Capstone Research","",Open,1,30,0
21055,CS,4980,036,IND,"1 - 3","Tom Fletcher, Mathews Jacob","TBA","TBA","Capstone Research","",Open,0,30,0
21102,CS,4980,037,IND,"1 - 3","Angela Orebaugh","TBA","TBA","Capstone Research","",Open,1,30,0
21270,CS,4980,038,IND,"1 - 3","Yen-Ling Kuo","TBA","TBA","Capstone Research","",Open,1,30,0
