ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
13083,AAS,2500,001,SEM,"3","Shelby Sinclair","TuTh 2:00pm - 3:15pm","New Cabell Hall 044","Topics Course in Africana Studies","Black Life, Power, and the Archive",Wait List,15,15,0
20025,AAS,2559,001,Lecture,"3","Robin Means Coleman","We 4:00pm - 6:30pm","Wilson Hall 238","New Course in African and African American Studies","African Americans in Popular Culture",Open,14,15,0
13598,AAS,3500,003,SEM,"3","Ashon Crawley","Mo 6:00pm - 8:30pm","New Cabell Hall 303","Intermediate Seminar in African-American & African Studies","Introduction to Black Queer Film",Open,16,20,0
19101,AAS,3830,001,SEM,"3","Njelle Hamilton","MoWe 2:00pm - 3:15pm","Dell 2 102","Being Human: Race, Technology, and the Arts","",Closed,16,16,0
14552,AMST,2500,001,Lecture,"3","David Coyoca","TuTh 11:00am - 12:15pm","Bryan Hall 328","Major Works for American Studies","Commodifying Race, Gender, Sexuality",Wait List,23,20,4
13038,AMST,2660,100,Lecture,"3","Matthew Hedstrom","MoWe 2:00pm - 2:50pm","Wilson Hall 402","Spiritual But Not Religious: Spirituality in America","",Closed,300,300,0
13039,AMST,2660,101,Discussion,"0","Maria Trivino","Th 5:00pm - 5:50pm","Wilson Hall 244","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13040,AMST,2660,102,Discussion,"0","Nicholas Shrum","Th 6:00pm - 6:50pm","New Cabell Hall 411","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13041,AMST,2660,103,Discussion,"0","Nicholas Shrum","Th 7:00pm - 7:50pm","Bryan Hall 235","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13187,AMST,2660,104,Discussion,"0","Maria Trivino","Th 6:00pm - 6:50pm","Bryan Hall 328","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13188,AMST,2660,105,Discussion,"0","Maria Trivino","Th 7:00pm - 7:50pm","Bryan Hall 328","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13042,AMST,2660,106,Discussion,"0","Joshua Parks","We 7:00pm - 7:50pm","Bryan Hall 235","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13043,AMST,2660,107,Discussion,"0","Nicholas Shrum","Fr 12:00pm - 12:50pm","Bryan Hall 235","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13044,AMST,2660,108,Discussion,"0","Nicholas Shrum","Fr 1:00pm - 1:50pm","Bryan Hall 235","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13045,AMST,2660,109,Discussion,"0","Nicholas Shrum","Fr 2:00pm - 2:50pm","Wilson Hall 244","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13046,AMST,2660,110,Discussion,"0","Joshua Parks","We 8:00pm - 8:50pm","Wilson Hall 244","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13047,AMST,2660,111,Discussion,"0","Joshua Parks","We 6:00pm - 6:50pm","Bryan Hall 235","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13048,AMST,2660,112,Discussion,"0","Sarah Denne","We 7:00pm - 7:50pm","Bryan Hall 328","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
19289,AMST,2660,113,Discussion,"0","Nicholas Shrum","Fr 11:00am - 11:50am","New Cabell Hall 191","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
19290,AMST,2660,114,Discussion,"0","Sarah Denne","Fr 12:00pm - 12:50pm","Nau Hall 241","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
19293,AMST,2660,115,Discussion,"0","Sarah Denne","Fr 1:00pm - 1:50pm","Nau Hall 142","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13604,AMST,3001,001,SEM,"3","Karl Miller","MoWe 3:30pm - 4:45pm","Bryan Hall 328","Theories and Methods of American Studies","",Open,7,18,0
14417,AMST,3001,002,SEM,"3","Ruby Tapia","TuTh 11:00am - 12:15pm","Bryan Hall 235","Theories and Methods of American Studies","",Open,10,18,0
14420,AMST,3471,001,SEM,"3","Sylvia Chong","MoWe 2:00pm - 3:15pm","Clark Hall G004","American Cinema","",Open,39,40,0
19210,AMST,4321,001,Lecture,"3","Carmen Lamas","We 3:30pm - 6:00pm","Shannon House 119","Caribbean Latinx: Cuba, Puerto Rico and the DR","",Open,15,18,0
13359,ANTH,2120,100,Lecture,"3","Ira Bashkow","MoWe 3:00pm - 3:50pm","Minor Hall 125","The Concept of Culture","",Open,178,180,13
13360,ANTH,2120,101,Discussion,"0","Nazli Azergun","Th 4:00pm - 4:50pm","Campbell Hall 108","The Concept of Culture","",Wait List,19,20,6
13361,ANTH,2120,102,Discussion,"0","Sofia Moira Sejas Pary","Fr 11:00am - 11:50am","New Cabell Hall 291","The Concept of Culture","",Wait List,20,20,1
13362,ANTH,2120,103,Discussion,"0","Jaran Rudd","Fr 12:00pm - 12:50pm","Brooks Hall 103","The Concept of Culture","",Wait List,20,20,0
13363,ANTH,2120,104,Discussion,"0","Nazli Azergun","Th 9:30am - 10:20am","Pavilion VIII 102","The Concept of Culture","",Wait List,20,20,1
13364,ANTH,2120,105,Discussion,"0","Sofia Moira Sejas Pary","Fr 9:00am - 9:50am","Brooks Hall 103","The Concept of Culture","",Open,19,20,1
13365,ANTH,2120,106,Discussion,"0","Sofia Moira Sejas Pary","Fr 10:00am - 10:50am","John W. Warner Hall 113","The Concept of Culture","",Wait List,20,20,0
14541,ANTH,2120,107,Discussion,"0","Jaran Rudd","Th 6:00pm - 6:50pm","Brooks Hall 103","The Concept of Culture","",Wait List,20,20,2
