ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10552,AAS,1020,100,Lecture,"4","Nemata Blyden, Guilherme Lemos","TuTh 12:30pm - 1:45pm","Wilson Hall 301","Introduction to African-American and African Studies II","",Open,157,180,1
10557,AAS,1020,101,Discussion,"0","Guilherme Lemos","Tu 6:00pm - 6:50pm","New Cabell Hall 207","Introduction to African-American and African Studies II","",Wait List,20,20,0
10556,AAS,1020,102,Discussion,"0","Guilherme Lemos","Tu 5:00pm - 5:50pm","New Cabell Hall 315","Introduction to African-American and African Studies II","",Wait List,20,20,0
10555,AAS,1020,103,Discussion,"0","Nathan Frank","We 5:00pm - 5:50pm","New Cabell Hall 291","Introduction to African-American and African Studies II","",Wait List,20,20,0
10554,AAS,1020,104,Discussion,"0","Nathan Frank","We 7:00pm - 7:50pm","New Cabell Hall 415","Introduction to African-American and African Studies II","",Wait List,20,20,0
10558,AAS,1020,105,Discussion,"0","Guilherme Lemos","Tu 7:00pm - 7:50pm","New Cabell Hall 211","Introduction to African-American and African Studies II","",Open,18,20,0
10553,AAS,1020,106,Discussion,"0","Nathan Frank","We 6:00pm - 6:50pm","New Cabell Hall 415","Introduction to African-American and African Studies II","",Open,14,20,0
12236,AAS,1020,107,Discussion,"0","Chloe Porche","Tu 4:00pm - 4:50pm","New Cabell Hall 032","Introduction to African-American and African Studies II","",Wait List,19,20,1
12237,AAS,1020,108,Discussion,"0","Chloe Porche","Tu 5:00pm - 5:50pm","New Cabell Hall 338","Introduction to African-American and African Studies II","",Open,19,20,0
12238,AAS,1020,109,Discussion,"0","Chloe Porche","Tu 6:00pm - 6:50pm","New Cabell Hall 211","Introduction to African-American and African Studies II","",Open,7,20,0
19106,AAS,3559,002,SEM,"3","Salma Mutwafy","TuTh 9:30am - 10:45am","New Cabell Hall 364","New Course in African and African American Studies","Africa's Youth: Cultural & Political Perspectives",Open,11,16,0
20594,AAS,3559,004,SEM,"3","Shelby Sinclair","TuTh 11:00am - 12:15pm","New Cabell Hall 315","New Course in African and African American Studies","Haiti and the US",Open,22,25,0
12470,AMST,3180,100,Lecture,"3","Sylvia Chong","MoWe 10:00am - 10:50am","Ridley Hall G004","Introduction to Asian American Studies","",Open,59,60,0
13030,AMST,3180,101,Discussion,"0","Xiwen Wang","Fr 12:00pm - 12:50pm","New Cabell Hall 066","Introduction to Asian American Studies","",Closed,15,15,0
13031,AMST,3180,102,Discussion,"0","Xiwen Wang","Fr 9:00am - 9:50am","Dawson's Row 1","Introduction to Asian American Studies","",Open,14,15,0
13032,AMST,3180,103,Discussion,"0","Katie Wu","Fr 11:00am - 11:50am","Dell 1 104","Introduction to Asian American Studies","",Closed,15,15,0
13033,AMST,3180,104,Discussion,"0","Katie Wu","Fr 10:00am - 10:50am","Dell 1 104","Introduction to Asian American Studies","",Closed,15,15,0
19209,AMST,3280,001,SEM,"3","Kasey Jernigan","MoWe 2:00pm - 2:50pm","New Cabell Hall 364","Introduction to Native American Studies: (Mis)Representations","",Closed,30,30,0
13359,ANTH,2120,100,Lecture,"3","Ira Bashkow","MoWe 3:00pm - 3:50pm","Minor Hall 125","The Concept of Culture","",Open,178,180,13
13360,ANTH,2120,101,Discussion,"0","Nazli Azergun","Th 4:00pm - 4:50pm","Campbell Hall 108","The Concept of Culture","",Wait List,19,20,6
13361,ANTH,2120,102,Discussion,"0","Sofia Moira Sejas Pary","Fr 11:00am - 11:50am","New Cabell Hall 291","The Concept of Culture","",Wait List,20,20,1
13362,ANTH,2120,103,Discussion,"0","Jaran Rudd","Fr 12:00pm - 12:50pm","Brooks Hall 103","The Concept of Culture","",Wait List,20,20,0
13363,ANTH,2120,104,Discussion,"0","Nazli Azergun","Th 9:30am - 10:20am","Pavilion VIII 102","The Concept of Culture","",Wait List,20,20,1
13364,ANTH,2120,105,Discussion,"0","Sofia Moira Sejas Pary","Fr 9:00am - 9:50am","Brooks Hall 103","The Concept of Culture","",Open,19,20,1
13365,ANTH,2120,106,Discussion,"0","Sofia Moira Sejas Pary","Fr 10:00am - 10:50am","John W. Warner Hall 113","The Concept of Culture","",Wait List,20,20,0
14541,ANTH,2120,107,Discussion,"0","Jaran Rudd","Th 6:00pm - 6:50pm","Brooks Hall 103","The Concept of Culture","",Wait List,20,20,2
14542,ANTH,2120,108,Discussion,"0","Nazli Azergun","Th 6:00pm - 6:50pm","New Cabell Hall 107","The Concept of Culture","",Wait List,20,20,1
14543,ANTH,2120,109,Discussion,"0","Jaran Rudd","Fr 11:00am - 11:50am","Campbell Hall 108","The Concept of Culture","",Wait List,20,20,0
14027,ANTH,2190,001,Lecture,"3","George Mentore","TuTh 3:30pm - 4:45pm","New Cabell Hall 168","Desire and World Economics","",Wait List,33,35,6
14023,ANTH,2250,001,Lecture,"3","Richard Handler","MoWeFr 11:00am - 11:50am","Campbell Hall 160","Nationalism, Racism, Multiculturalism","",Open,87,90,7
11475,ANTH,2280,100,Lecture,"3","Jarrett Zigon","We 3:30pm - 5:10pm","Nau Hall 101","Medical Anthropology","",Wait List,237,240,75
12613,ANTH,2280,101,Discussion,"0","Brianna Doe","Th 7:00pm - 7:50pm","Brooks Hall 103","Medical Anthropology","",Wait List,20,20,6
12615,ANTH,2280,103,Discussion,"0","Rachel Apone","We 11:00am - 11:50am","Pavilion VIII 102","Medical Anthropology","",Wait List,20,20,11
12616,ANTH,2280,104,Discussion,"0","Brianna Doe","Th 6:00pm - 6:50pm","New Cabell Hall 207","Medical Anthropology","",Wait List,20,20,3
12618,ANTH,2280,106,Discussion,"0","Rachel Apone","Fr 9:00am - 9:50am","New Cabell Hall 191","Medical Anthropology","",Wait List,20,20,8
