ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
14317,AAS,2500,004,SEM,"3","Naseemah Mohamed","TuTh 9:30am - 10:45am","New Cabell Hall 315","Topics Course in Africana Studies","African Liberation:Struggles for Freedom",Open,17,18,0
14318,AAS,3157,001,SEM,"3","FATIMA SIWAJU","Tu 3:30pm - 6:00pm","New Cabell Hall 211","Caribbean Perspectives","",Wait List,20,20,0
20594,AAS,3559,004,SEM,"3","Shelby Sinclair","TuTh 11:00am - 12:15pm","New Cabell Hall 315","New Course in African and African American Studies","Haiti and the US",Open,22,25,0
13431,AAS,4501,001,SEM,"4","Lisa Shutt","Th 2:00pm - 5:30pm","Pavilion V 110","Advanced Research Seminar in History & AAS","Engaging Local Histories: River View Farm",Open,8,10,0
13430,AAS,4570,001,SEM,"3","Naseemah Mohamed","Tu 6:00pm - 8:30pm","New Cabell Hall 056","Advanced Research Seminar in African-American & African Studies","Know Thyself: Research Ancestry, Heritage, Culture",Open,9,14,0
19215,AMST,1050,001,Lecture,"3","Kirt von Daacke","MoWe 2:00pm - 3:15pm","John W. Warner Hall 110","Slavery and Its Legacies","",Closed,20,20,0
13038,AMST,2660,100,Lecture,"3","Matthew Hedstrom","MoWe 2:00pm - 2:50pm","Wilson Hall 402","Spiritual But Not Religious: Spirituality in America","",Closed,300,300,0
13039,AMST,2660,101,Discussion,"0","Maria Trivino","Th 5:00pm - 5:50pm","Wilson Hall 244","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13040,AMST,2660,102,Discussion,"0","Nicholas Shrum","Th 6:00pm - 6:50pm","New Cabell Hall 411","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13041,AMST,2660,103,Discussion,"0","Nicholas Shrum","Th 7:00pm - 7:50pm","Bryan Hall 235","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
13187,AMST,2660,104,Discussion,"0","Maria Trivino","Th 6:00pm - 6:50pm","Bryan Hall 328","Spiritual But Not Religious: Spirituality in America","",Closed,20,20,0
