ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
19102,AAS,3500,001,SEM,"3","Kache Claytor","MoWe 3:30pm - 4:45pm","New Cabell Hall 064","Intermediate Seminar in African-American & African Studies","Race, Gender & Environmental Justice-Latin America",Open,15,16,0
13969,AAS,3500,005,SEM,"3","Kimberly Fields","Tu 3:30pm - 6:00pm","John W. Warner Hall 113","Intermediate Seminar in African-American & African Studies","Race, Class, Politics & the Environoment",Wait List,30,30,1
13970,AAS,3500,006,SEM,"3","Kimberly Fields","We 6:00pm - 8:30pm","New Cabell Hall 411","Intermediate Seminar in African-American & African Studies","Environmental Justice Across the Globe",Wait List,20,20,0
13972,AAS,3500,008,SEM,"3","Liana Richardson","We 2:00pm - 4:30pm","New Cabell Hall 207","Intermediate Seminar in African-American & African Studies","Race & Medicine in Post-19th Century America",Wait List,15,16,2
11475,ANTH,2280,100,Lecture,"3","Jarrett Zigon","We 3:30pm - 5:10pm","Nau Hall 101","Medical Anthropology","",Wait List,237,240,75
12613,ANTH,2280,101,Discussion,"0","Brianna Doe","Th 7:00pm - 7:50pm","Brooks Hall 103","Medical Anthropology","",Wait List,20,20,6
12615,ANTH,2280,103,Discussion,"0","Rachel Apone","We 11:00am - 11:50am","Pavilion VIII 102","Medical Anthropology","",Wait List,20,20,11
12616,ANTH,2280,104,Discussion,"0","Brianna Doe","Th 6:00pm - 6:50pm","New Cabell Hall 207","Medical Anthropology","",Wait List,20,20,3
12618,ANTH,2280,106,Discussion,"0","Rachel Apone","Fr 9:00am - 9:50am","New Cabell Hall 191","Medical Anthropology","",Wait List,20,20,8
14018,ANTH,2280,107,Discussion,"0","Eunchae Kwon","Fr 11:00am - 11:50am","New Cabell Hall 111","Medical Anthropology","",Wait List,20,20,4
14019,ANTH,2280,108,Discussion,"0","Rachel Apone","Fr 10:00am - 10:50am","The Rotunda Room 152","Medical Anthropology","",Wait List,20,20,5
14020,ANTH,2280,109,Discussion,"0","Brianna Doe","Fr 12:00pm - 12:50pm","New Cabell Hall 115","Medical Anthropology","",Wait List,19,20,4
19623,ANTH,2280,110,Discussion,"0","John Rovin","Mo 11:00am - 11:50am","Pavilion VIII 102","Medical Anthropology","",Wait List,19,20,4
19747,ANTH,2280,111,Discussion,"0","Eunchae Kwon","Mo 11:00am - 11:50am","Brooks Hall 103","Medical Anthropology","",Wait List,20,20,6
19748,ANTH,2280,112,Discussion,"0","Eunchae Kwon","Mo 12:00pm - 12:50pm","Brooks Hall 103","Medical Anthropology","",Wait List,20,20,10
21085,ANTH,2280,113,Discussion,"0","John Rovin","Mo 9:00am - 9:50am","Brooks Hall 103","Medical Anthropology","",Wait List,20,20,3
21086,ANTH,2280,114,Discussion,"0","John Rovin","Mo 10:00am - 10:50am","Brooks Hall 103","Medical Anthropology","",Wait List,19,20,7
13436,ANTH,3020,001,Lecture,"3","Roberto Rosado-Ramirez","MoWe 3:30pm - 4:45pm","Gibson Hall 211","Using Anthropology","",Open,25,35,0
19636,ANTH,3390,001,Lecture,"3","Gertrude Fraser","TuTh 3:30pm - 4:20pm","Ridley Hall G004","Pregnancy, Birthing and the Post-Partum","",Wait List,59,60,29
10460,ARH,3604,001,Lecture,"3","Andrew Johnston","Fr 1:00pm - 3:30pm","Campbell Hall 220C","Field Methods I Building Archaeology","",Closed,5,10,0
18787,ARTH,3151,001,Lecture,"3","Eric Ramirez-Weaver","MoWeFr 9:00am - 9:50am","Campbell Hall 160","Art and Science in the Middle Ages","",Open,34,50,0
13456,ASTR,1250,001,Lecture,"3","Yifan Zhou","MoWeFr 9:00am - 9:50am","Clark Hall 107","Alien Worlds","",Open,101,120,5
13898,ASTR,1280,001,Lecture,"3","Paul Torrey","MoWeFr 10:00am - 10:50am","Clark Hall 107","The Origins of Almost Everything","",Wait List,140,140,16
12659,ASTR,3450,001,Lecture,"3","Edward Murphy","MoWe 3:30pm - 4:45pm","Ridley Hall G008","Mission to Mars","",Open,142,170,0
11821,BIOL,4770,001,Lecture,"3","Keith Kozminski","MoTh 7:00pm - 8:30pm","Physical & Life Sci Bldg Rm403","Synthetic Biology","",Open,15,18,0
13913,ECON,4150,100,Lecture,"3","Emma Harrington","MoWe 5:00pm - 6:15pm","Chemistry Bldg 217","Economics of Labor","",Wait List,61,60,21
13914,ECON,4150,101,Discussion,"0","Pallavi Wats","Th 5:00pm - 5:50pm","Wilson Hall 238","Economics of Labor","",Wait List,31,30,10
13915,ECON,4150,102,Discussion,"0","Pallavi Wats","Th 6:00pm - 6:50pm","Wilson Hall 238","Economics of Labor","",Wait List,30,30,11
13790,ECON,4430,099,Lecture,"3","Sheetal Sekhri","TuTh 2:00pm - 3:15pm","Clark Hall 108","Environmental Economics","",Wait List,70,70,16
12886,ECON,4430,100,Lecture,"3","Sheetal Sekhri","TuTh 11:00am - 12:15pm","Ridley Hall G004","Environmental Economics","",Wait List,69,70,20
13791,ECON,4430,101,Discussion,"0","To Be Announced","Fr 9:00am - 9:50am","Wilson Hall 238","Environmental Economics","",Open,24,25,1
12950,ECON,4430,102,Discussion,"0","To Be Announced","Fr 10:00am - 10:50am","Wilson Hall 238","Environmental Economics","",Wait List,26,25,8
12951,ECON,4430,103,Discussion,"0","Chunru Zheng","Fr 1:00pm - 1:50pm","Nau Hall 141","Environmental Economics","",Wait List,24,25,6
19801,ECON,4430,105,Discussion,"0","Chunru Zheng","Fr 11:00am - 11:50am","Nau Hall 141","Environmental Economics","",Wait List,25,25,9
21431,ECON,4430,106,Discussion,"0","To Be Announced","Fr 9:00am - 9:50am","New Cabell Hall 058","Environmental Economics","",Open,17,25,6
21432,ECON,4430,107,Discussion,"0","To Be Announced","Fr 1:00pm - 1:50pm","New Cabell Hall 058","Environmental Economics","",Wait List,25,25,5
19702,ECON,4720,090,Lecture,"3","Lidia Kosenkova","MoWe 2:00pm - 3:15pm","Clinical Department Wing 2677","Econometric Methods","",Open,13,25,0
