ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10738,MATH,1110,001,Lecture,"3","Wendi Dass","TuTh 12:30pm - 1:45pm","Chemistry Bldg 204","Probability/Finite Mathematics","",Open,38,40,4
10739,MATH,1140,001,Lecture,"3","Kristina Cernekova","MoWeFr 10:00am - 10:50am","Chemistry Bldg 204","Financial Mathematics","",Wait List,36,36,18
11802,MATH,1140,002,Lecture,"3","Kristina Cernekova","MoWeFr 11:00am - 11:50am","Chemistry Bldg 204","Financial Mathematics","",Wait List,36,36,24
14610,MATH,1140,004,Lecture,"3","Kristina Cernekova","MoWeFr 9:00am - 9:50am","Chemistry Bldg 206","Financial Mathematics","",Wait List,36,36,9
19832,MATH,1150,001,Lecture,"3","Kyong Mi Choi","MoWe 2:00pm - 3:15pm","New Cabell Hall 168","The Shape of Space","",Open,33,35,0
10740,MATH,1160,001,Lecture,"3","William Feeley","TuTh 9:30am - 10:45am","New Cabell Hall 232","Algebra, Number Systems, and Number Theory","",Open,35,36,0
10744,MATH,1190,100,Lecture,"4","Daniel James","TuTh 12:30pm - 1:45pm","Monroe Hall 110","A Survey of Calculus I with Algebra","",Wait List,35,34,5
10745,MATH,1190,101,Discussion,"0","Brandon Sisler","Fr 11:00am - 11:50am","Monroe Hall 110","A Survey of Calculus I with Algebra","",Wait List,35,34,5
20914,MATH,1190,110,SPS,"0","Daniel James","Th 7:00pm - 9:00pm","Contact Department","A Survey of Calculus I with Algebra","",Wait List,35,34,5
12999,MATH,1190,200,Lecture,"4","Petch Chueluecha, -","TuTh 2:00pm - 3:15pm","Chemistry Bldg 204","A Survey of Calculus I with Algebra","",Open,33,34,3
13000,MATH,1190,201,Discussion,"0","Brandon Sisler","Fr 12:00pm - 12:50pm","Monroe Hall 110","A Survey of Calculus I with Algebra","",Open,33,34,3
20915,MATH,1190,210,SPS,"0","Petch Chueluecha","Th 7:00pm - 9:00pm","Contact Department","A Survey of Calculus I with Algebra","",Open,33,34,3
13449,MATH,1210,200,Lecture,"3","Joshua Turner","TuTh 11:00am - 12:15pm","Chemistry Bldg 306","A survey of Calculus I","",Wait List,32,32,8
